type,is_pyramid,units,entry_date,exit_date,entry_price,exit_price,raw_pnl,pnl,holding_days
Short,False,1.0,2024-11-12 14:00:00,2024-11-20 14:00:00,2625.7,2635.8,-10.1,-8.24,8
Short,False,1.0,2024-11-20 22:00:00,2024-11-21 06:00:00,2632.6,2646.5,-13.9,-13.93,1
Short,False,1.0,2024-11-26 14:00:00,2024-11-27 14:00:00,2626.2,2658.3,-32.1,-32.13,1
Short,False,1.0,2024-11-28 14:00:00,2024-11-29 06:00:00,2660.6,2665.3,-4.7,-4.73,1
Short,False,1.0,2024-11-29 14:00:00,2024-11-29 22:00:00,2661.9,2689.4,-27.5,-27.8,0
Short,False,1.0,2024-11-30 06:00:00,2024-12-03 06:00:00,2677.6,2668.9,8.7,9.21,3
Short,False,1.0,2024-12-03 14:00:00,2024-12-03 22:00:00,2662.0,2669.8,-7.8,-8.1,0
Short,False,1.0,2024-12-04 06:00:00,2024-12-04 22:00:00,2669.6,2671.5,-1.9,-2.2,0
Short,False,1.0,2024-12-05 22:00:00,2024-12-09 22:00:00,2671.6,2665.3,6.3,7.08,4
Long,False,1.0,2024-12-10 22:00:00,2024-12-12 22:00:00,2692.4,2751.8,59.4,57.6,2
Long,False,1.0,2024-12-13 22:00:00,2024-12-14 06:00:00,2710.0,2679.3,-30.7,-31.75,1
Short,False,1.0,2024-12-16 22:00:00,2025-01-02 14:00:00,2671.5,2641.0,30.5,34.79,17
Short,True,1.0,2024-12-17 06:00:00,2025-01-02 14:00:00,2673.4,2641.0,32.4,36.42,16
Short,False,1.0,2025-01-04 06:00:00,2025-01-07 14:00:00,2661.6,2647.1,14.5,15.01,3
Short,True,1.0,2025-01-06 22:00:00,2025-01-07 14:00:00,2643.5,2647.1,-3.6,-3.63,1
Short,False,1.0,2025-01-08 14:00:00,2025-01-08 22:00:00,2662.9,2666.1,-3.2,-3.5,0
Long,False,1.0,2025-01-09 14:00:00,2025-01-13 14:00:00,2679.9,2716.8,36.9,33.6,4
Long,False,1.0,2025-01-14 22:00:00,2025-01-15 06:00:00,2684.0,2678.4,-5.6,-6.65,1
Long,False,1.0,2025-01-15 14:00:00,2025-01-17 14:00:00,2693.3,2746.8,53.5,51.7,2
Long,False,1.0,2025-01-18 06:00:00,2025-01-20 14:00:00,2745.0,2739.6,-5.4,-7.2,2
Long,False,1.0,2025-01-20 22:00:00,2025-01-21 06:00:00,2752.4,2729.6,-22.8,-23.85,1
Long,False,1.0,2025-01-21 14:00:00,2025-01-23 22:00:00,2731.6,2761.9,30.3,28.5,2
Long,True,1.5,2025-01-23 14:00:00,2025-01-23 22:00:00,2765.9,2761.9,-4.0,-6.45,0
Long,False,1.0,2025-01-24 14:00:00,2025-01-27 14:00:00,2761.8,2778.1,16.3,13.75,3
Long,False,1.0,2025-01-29 06:00:00,2025-01-29 22:00:00,2758.3,2766.2,7.9,7.6,0
Long,True,1.5,2025-01-29 14:00:00,2025-01-29 22:00:00,2771.6,2766.2,-5.4,-8.55,0
Long,False,1.0,2025-01-30 06:00:00,2025-01-30 14:00:00,2776.8,2796.2,19.4,19.1,0
Long,False,1.0,2025-01-30 22:00:00,2025-01-31 22:00:00,2803.5,2845.7,42.2,41.15,1
Long,True,1.5,2025-01-31 06:00:00,2025-01-31 22:00:00,2834.3,2845.7,11.4,16.65,0
Long,False,1.0,2025-02-01 06:00:00,2025-02-03 14:00:00,2856.5,2846.5,-10.0,-11.8,2
Long,False,1.0,2025-02-04 06:00:00,2025-02-04 14:00:00,2870.5,2850.4,-20.1,-20.4,0
Long,False,1.0,2025-02-05 06:00:00,2025-02-06 14:00:00,2869.3,2885.0,15.7,14.65,1
Long,True,1.5,2025-02-05 14:00:00,2025-02-06 14:00:00,2873.7,2885.0,11.3,15.38,1
Long,False,1.0,2025-02-07 14:00:00,2025-02-10 14:00:00,2880.2,2884.8,4.6,2.05,3
Long,False,1.0,2025-02-10 22:00:00,2025-02-12 06:00:00,2913.8,2922.3,8.5,6.7,2
Long,True,1.5,2025-02-11 06:00:00,2025-02-12 06:00:00,2932.8,2922.3,-10.5,-17.33,1
Long,False,1.0,2025-02-12 14:00:00,2025-02-12 22:00:00,2927.0,2918.9,-8.1,-8.4,0
Long,False,1.0,2025-02-13 06:00:00,2025-02-15 06:00:00,2921.2,2939.2,18.0,16.2,2
Long,True,1.5,2025-02-14 14:00:00,2025-02-15 06:00:00,2957.3,2939.2,-18.1,-28.73,1
Long,False,1.0,2025-02-17 22:00:00,2025-02-18 14:00:00,2909.0,2911.1,2.1,1.05,1
Long,False,1.0,2025-02-18 22:00:00,2025-02-19 22:00:00,2926.3,2948.3,22.0,20.95,1
Long,True,1.5,2025-02-19 14:00:00,2025-02-19 22:00:00,2954.1,2948.3,-5.8,-9.15,0
Long,False,1.0,2025-02-20 06:00:00,2025-02-20 14:00:00,2954.8,2949.5,-5.3,-5.6,0
Long,False,1.0,2025-02-20 22:00:00,2025-02-21 06:00:00,2964.5,2950.7,-13.8,-14.85,1
Long,False,1.0,2025-02-21 14:00:00,2025-02-21 22:00:00,2955.7,2944.1,-11.6,-11.9,0
Long,False,1.0,2025-02-22 06:00:00,2025-02-25 22:00:00,2947.9,2951.0,3.1,0.55,3
Long,True,1.5,2025-02-24 14:00:00,2025-02-25 22:00:00,2950.4,2951.0,0.6,-0.68,1
Long,False,1.0,2025-03-05 14:00:00,2025-03-05 22:00:00,2929.0,2927.6,-1.4,-1.7,0
Long,False,1.0,2025-03-06 14:00:00,2025-03-06 22:00:00,2929.5,2928.5,-1.0,-1.3,0
