type,is_pyramid,units,entry_date,entry_price,exit_date,exit_price,stop_price,pnl_points,holding_hours,exit_reason,trade_id
Long,True,2.0,2025-09-03 16:00:00,3533.8,2025-09-04 04:00:00,3563.77,3512.73,57.84,24,Signal Exit,386
Long,False,1.0,2025-09-04 16:00:00,3541.14,2025-09-05 04:00:00,3550.01,3513.0,7.82,24,Signal Exit,387
Long,True,2.0,2025-09-04 20:00:00,3545.34,2025-09-05 04:00:00,3550.01,3513.0,7.24,24,Signal Exit,388
Long,False,1.0,2025-09-05 08:00:00,3552.69,2025-09-05 16:00:00,3547.98,3521.46,-5.01,0,Signal Exit,389
Long,False,1.0,2025-09-05 20:00:00,3553.24,2025-09-08 04:00:00,3583.72,3523.7,27.93,72,Signal Exit,390
Long,False,1.0,2025-09-08 08:00:00,3591.25,2025-09-08 12:00:00,3583.66,3564.77,-7.89,0,Signal Exit,391
Long,False,1.0,2025-09-08 16:00:00,3609.42,2025-09-09 04:00:00,3636.77,3588.14,26.3,24,Signal Exit,392
Long,True,2.0,2025-09-08 20:00:00,3619.83,2025-09-09 04:00:00,3636.77,3588.14,31.78,24,Signal Exit,393
Long,False,1.0,2025-09-09 12:00:00,3645.97,2025-09-09 16:00:00,3644.31,3609.92,-1.96,0,Signal Exit,394
Long,False,1.0,2025-09-09 20:00:00,3648.14,2025-09-10 00:00:00,3645.66,3617.89,-3.53,24,Signal Exit,395
Long,False,1.0,2025-09-10 08:00:00,3633.62,2025-09-11 00:00:00,3644.5,3615.8,9.83,24,Signal Exit,396
Long,False,1.0,2025-09-11 08:00:00,3644.97,2025-09-11 12:00:00,3632.01,3617.36,-13.26,0,Signal Exit,397
Long,False,1.0,2025-09-12 00:00:00,3633.19,2025-09-12 08:00:00,3631.74,3593.78,-1.75,0,Signal Exit,398
Long,True,2.0,2025-09-12 04:00:00,3636.94,2025-09-12 08:00:00,3631.74,3594.01,-11.0,0,Signal Exit,399
Long,False,1.0,2025-09-12 12:00:00,3652.75,2025-09-12 16:00:00,3648.19,3614.15,-4.86,0,Signal Exit,400
Long,False,1.0,2025-09-15 12:00:00,3646.05,2025-09-15 16:00:00,3643.84,3611.82,-2.51,0,Signal Exit,401
